Step,AgentID,State,Health,Row,Col,Age,Risk,Strategy,FamilyID,EscapeStep,CellsTraversed,HazardCellsCrossed,StepsInSmoke,StepsInFire,CommsReceived,RescueCompleted,ExitChosen_r,ExitChosen_c
3,21,evacuating,100,6,14,75,0.7917203152241724,least_crowded_exit,3.0,-1,0,0,0,0,3,False,1,18
3,0,evacuating,100,1,17,30,0.7459975982133148,least_crowded_exit,5.0,-1,1,0,0,0,3,False,1,18
3,13,evacuating,100,1,15,69,0.1603079106994315,least_crowded_exit,,-1,0,0,0,0,2,False,1,18
3,8,evacuating,100,8,16,33,0.7893380290822328,nearest_exit,,-1,1,0,0,0,3,False,14,18
3,1,rescuing,100,2,11,60,0.1754606371935058,safest_exit,1.0,-1,2,0,0,0,2,False,1,18
3,19,evacuating,100,11,1,44,0.28910359243339956,least_crowded_exit,,-1,1,0,0,0,1,False,14,1
3,12,evacuating,100,12,18,77,0.29984515830568037,nearest_exit,,-1,0,0,0,0,4,False,14,18
3,11,evacuating,100,11,7,47,0.24679042862978662,safest_exit,,-1,1,0,0,0,1,False,14,1
3,18,rescuing,100,12,3,72,0.8410935864065021,least_crowded_exit,1.0,-1,2,0,0,0,3,False,14,1
3,7,evacuating,100,14,12,69,0.6825708707529461,safest_exit,,-1,0,0,0,0,4,False,14,18
3,14,evacuating,100,10,11,53,0.7890792838094645,safest_exit,,-1,1,0,0,0,2,False,14,18
3,3,evacuating,100,3,9,73,0.42888182083979043,nearest_exit,,-1,0,0,0,0,1,False,1,18
3,17,rescuing,100,2,8,23,0.11180628519652043,least_crowded_exit,2.0,-1,2,0,0,0,0,False,14,1
3,25,rescuing,100,9,9,36,0.7281034854352972,safest_exit,3.0,-1,2,0,0,0,3,False,14,1
3,16,evacuating,100,1,7,71,0.8994259747301813,nearest_exit,4.0,-1,0,0,0,0,1,False,1,18
3,2,dead,0,5,2,45,0.44484094592510204,safest_exit,,-1,0,0,0,2,1,False,1,18
3,9,rescuing,100,4,9,52,0.25327205771332323,least_crowded_exit,0.0,-1,0,0,0,0,2,False,14,1
3,24,evacuating,100,12,13,68,0.31216244653772157,nearest_exit,5.0,-1,0,0,0,0,3,True,14,18
3,10,evacuating,100,1,6,45,0.45889083826650556,nearest_exit,2.0,-1,1,0,0,0,1,False,1,18
3,5,rescuing,100,9,11,59,0.6227643906126332,least_crowded_exit,5.0,-1,2,0,0,0,4,False,14,1
3,15,rescuing,100,5,15,59,0.1783269825612803,safest_exit,4.0,-1,2,0,0,0,3,False,14,18
3,23,evacuating,100,4,1,42,0.10172430268114115,safest_exit,1.0,-1,1,0,0,0,1,False,14,1
3,20,evacuating,100,8,5,31,0.4885129003605748,least_crowded_exit,,-1,1,0,0,0,1,False,14,1
3,27,rescuing,100,8,15,68,0.6844042539323728,least_crowded_exit,2.0,-1,2,0,0,0,3,False,14,1
3,28,evacuating,100,6,13,63,0.5446146587244945,nearest_exit,,-1,0,0,0,0,3,False,1,18
3,29,evacuating,98,6,1,30,0.4893371293234636,nearest_exit,,-1,1,1,2,0,1,False,14,1
3,6,evacuating,100,1,16,43,0.17873429692156712,safest_exit,0.0,-1,1,0,0,0,3,False,1,18
4,28,evacuating,100,6,15,63,0.5446146587244945,nearest_exit,,-1,1,0,0,0,3,False,1,18
4,4,evacuating,100,14,2,61,0.6832606795678805,nearest_exit,,-1,1,0,0,0,3,False,14,1
4,19,evacuating,100,12,1,44,0.28910359243339956,least_crowded_exit,,-1,2,0,0,0,1,False,14,1
4,12,evacuating,100,13,18,77,0.29984515830568037,nearest_exit,,-1,1,0,0,0,4,False,14,18
4,17,rescuing,100,2,9,23,0.11180628519652043,least_crowded_exit,2.0,-1,3,0,0,0,0,False,14,1
4,7,evacuating,100,14,13,69,0.6825708707529461,safest_exit,,-1,1,0,0,0,4,False,14,18
4,25,rescuing,100,8,9,36,0.7281034854352972,safest_exit,3.0,-1,3,0,0,0,3,False,14,1
4,3,evacuating,100,3,10,73,0.42888182083979043,nearest_exit,,-1,1,0,0,0,1,False,1,18
4,24,evacuating,100,12,13,68,0.31216244653772157,nearest_exit,5.0,-1,0,0,0,0,3,True,14,18
4,27,rescuing,100,7,15,68,0.6844042539323728,least_crowded_exit,2.0,-1,3,0,0,0,3,False,14,1
4,11,evacuating,100,12,7,47,0.24679042862978662,safest_exit,,-1,2,0,0,0,1,False,14,1
4,8,evacuating,100,8,17,33,0.7893380290822328,nearest_exit,,-1,2,0,0,0,3,False,14,18
4,15,rescuing,100,4,15,59,0.1783269825612803,safest_exit,4.0,-1,3,0,0,0,3,False,14,18
4,20,evacuating,100,8,4,31,0.4885129003605748,least_crowded_exit,,-1,2,0,0,0,1,False,14,1
4,26,rescuing,100,1,5,79,0.43840598879213033,nearest_exit,3.0,-1,1,0,0,0,1,False,1,18
4,22,evacuating,100,13,13,42,0.14690831997774315,safest_exit,,-1,2,0,0,0,4,False,14,18
4,5,rescuing,100,8,11,59,0.6227643906126332,least_crowded_exit,5.0,-1,3,0,0,0,4,False,14,1
4,2,dead,0,5,2,45,0.44484094592510204,safest_exit,,-1,0,0,0,2,1,False,1,18
4,13,evacuating,100,2,15,69,0.1603079106994315,least_crowded_exit,,-1,1,0,0,0,2,False,1,18
4,29,evacuating,98,7,1,30,0.4893371293234636,nearest_exit,,-1,2,1,2,0,1,False,14,1
4,0,escaped,100,1,18,30,0.7459975982133148,least_crowded_exit,5.0,3,2,0,0,0,3,False,1,18
4,9,rescuing,100,3,9,52,0.25327205771332323,least_crowded_exit,0.0,-1,1,0,0,0,2,False,14,1
4,14,evacuating,100,10,11,53,0.7890792838094645,safest_exit,,-1,1,0,0,0,2,False,14,18
4,16,evacuating,100,1,8,71,0.8994259747301813,nearest_exit,4.0,-1,1,0,0,0,1,False,1,18
4,23,evacuating,100,5,1,42,0.10172430268114115,safest_exit,1.0,-1,2,1,1,0,1,False,14,1
4,18,rescuing,100,11,3,72,0.8410935864065021,least_crowded_exit,1.0,-1,3,0,0,0,3,False,14,1
4,21,evacuating,100,7,14,75,0.7917203152241724,least_crowded_exit,3.0,-1,1,0,0,0,3,False,1,18
4,6,evacuating,100,1,17,43,0.17873429692156712,safest_exit,0.0,-1,2,0,0,0,3,False,1,18
